Date,Product,Region,Sales,Cost
2024-01-05,Laptop,North,1200,800
2024-01-08,Mouse,South,25,10
2024-01-10,Keyboard,East,75,35
2024-01-12,Monitor,West,300,180
2024-01-15,Laptop,South,1150,800
2024-01-18,Mouse,North,30,10
2024-01-20,Keyboard,West,80,35
2024-01-22,Monitor,East,320,180
2024-01-25,Laptop,East,1250,800
2024-01-28,Mouse,West,28,10
2024-02-01,Keyboard,North,70,35
2024-02-03,Monitor,South,310,180
2024-02-05,Laptop,West,1180,800
2024-02-08,Mouse,East,32,10
2024-02-10,Keyboard,South,78,35
2024-02-12,Monitor,North,295,180
2024-02-15,Laptop,North,1220,800
2024-02-18,Mouse,South,27,10
2024-02-20,Keyboard,East,82,35
2024-02-22,Monitor,West,330,180
2024-02-25,Laptop,South,1190,800
2024-02-28,Mouse,North,29,10
2024-03-01,Keyboard,West,75,35
2024-03-03,Monitor,East,315,180
2024-03-05,Laptop,East,1260,800
2024-03-08,Mouse,West,31,10
2024-03-10,Keyboard,North,73,35
2024-03-12,Monitor,South,305,180
2024-03-15,Laptop,West,1175,800
2024-03-18,Mouse,East,33,10
2024-03-20,Keyboard,South,79,35
2024-03-22,Monitor,North,298,180
2024-03-25,Laptop,North,1230,800
2024-03-28,Mouse,South,26,10
2024-03-30,Keyboard,East,81,35
2024-04-02,Monitor,West,325,180
2024-04-05,Laptop,South,1195,800
2024-04-08,Mouse,North,30,10
2024-04-10,Keyboard,West,76,35
2024-04-12,Monitor,East,318,180
2024-04-15,Laptop,East,1255,800
2024-04-18,Mouse,West,32,10
2024-04-20,Keyboard,North,74,35
2024-04-22,Monitor,South,308,180
2024-04-25,Laptop,West,1185,800
2024-04-28,Mouse,East,28,10
2024-04-30,Keyboard,South,77,35
2024-05-03,Monitor,North,302,180
2024-05-05,Laptop,North,1210,800
2024-05-08,Mouse,South,29,10
2024-05-10,Keyboard,East,80,35
2024-05-12,Monitor,West,328,180
2024-05-15,Laptop,South,1200,800
2024-05-18,Mouse,North,31,10
2024-05-20,Keyboard,West,72,35
2024-05-22,Monitor,East,312,180
2024-05-25,Laptop,East,1245,800
2024-05-28,Mouse,West,27,10
2024-05-30,Keyboard,North,78,35
2024-06-02,Monitor,South,320,180
